FWC;FWC0;FWC1;FWC2;FWC3;FWC4;FWC5;FWC6;FWC7;FWC8;;;;;;;;;;;
MÉXICO;MEX1;MEX2;MEX3;MEX4;MEX5;MEX6;MEX7;MEX8;MEX9;MEX10;MEX11;MEX12;MEX13;MEX14;MEX15;MEX16;MEX17;MEX18;MEX19;MEX20
ÁFRICA DO SUL;RSA1;RSA2;RSA3;RSA4;RSA5;RSA6;RSA7;RSA8;RSA9;RSA10;RSA11;RSA12;RSA13;RSA14;RSA15;RSA16;RSA17;RSA18;RSA19;RSA20
COREIA DO SUL;KOR1;KOR2;KOR3;KOR4;KOR5;KOR6;KOR7;KOR8;KOR9;KOR10;KOR11;KOR12;KOR13;KOR14;KOR15;KOR16;KOR17;KOR18;KOR19;KOR20
TCHÉQUIA;CZE1;CZE2;CZE3;CZE4;CZE5;CZE6;CZE7;CZE8;CZE9;CZE10;CZE11;CZE12;CZE13;CZE14;CZE15;CZE16;CZE17;CZE18;CZE19;CZE20
CANADÁ;CAN1;CAN2;CAN3;CAN4;CAN5;CAN6;CAN7;CAN8;CAN9;CAN10;CAN11;CAN12;CAN13;CAN14;CAN15;CAN16;CAN17;CAN18;CAN19;CAN20
BÓSNIA E HERZEGOVINA;BIH1;BIH2;BIH3;BIH4;BIH5;BIH6;BIH7;BIH8;BIH9;BIH10;BIH11;BIH12;BIH13;BIH14;BIH15;BIH16;BIH17;BIH18;BIH19;BIH20
CATAR;QAT1;QAT2;QAT3;QAT4;QAT5;QAT6;QAT7;QAT8;QAT9;QAT10;QAT11;QAT12;QAT13;QAT14;QAT15;QAT16;QAT17;QAT18;QAT19;QAT20
SUÍÇA;SUI1;SUI2;SUI3;SUI4;SUI5;SUI6;SUI7;SUI8;SUI9;SUI10;SUI11;SUI12;SUI13;SUI14;SUI15;SUI16;SUI17;SUI18;SUI19;SUI20
BRASIL;BRA1;BRA2;BRA3;BRA4;BRA5;BRA6;BRA7;BRA8;BRA9;BRA10;BRA11;BRA12;BRA13;BRA14;BRA15;BRA16;BRA17;BRA18;BRA19;BRA20
MARROCOS;MAR1;MAR2;MAR3;MAR4;MAR5;MAR6;MAR7;MAR8;MAR9;MAR10;MAR11;MAR12;MAR13;MAR14;MAR15;MAR16;MAR17;MAR18;MAR19;MAR20
HAITI;HAI1;HAI2;HAI3;HAI4;HAI5;HAI6;HAI7;HAI8;HAI9;HAI10;HAI11;HAI12;HAI13;HAI14;HAI15;HAI16;HAI17;HAI18;HAI19;HAI20
ESCÓCIA;SC01;SC02;SC03;SC04;SC05;SC06;SC07;SC08;SC09;SC10;SC11;SC12;SC13;SC14;SC15;SC16;SC17;SC18;SC19;SC20
ESTADOS UNIDOS;USA1;USA2;USA3;USA4;USA5;USA6;USA7;USA8;USA9;USA10;USA11;USA12;USA13;USA14;USA15;USA16;USA17;USA18;USA19;USA20
PARAGUAI;PAR1;PAR2;PAR3;PAR4;PAR5;PAR6;PAR7;PAR8;PAR9;PAR10;PAR11;PAR12;PAR13;PAR14;PAR15;PAR16;PAR17;PAR18;PAR19;PAR20
AUSTRÁLIA;AUS1;AUS2;AUS3;AUS4;AUS5;AUS6;AUS7;AUS8;AUS9;AUS10;AUS11;AUS12;AUS13;AUS14;AUS15;AUS16;AUS17;AUS18;AUS19;AUS20
TURQUIA;TUR1;TUR2;TUR3;TUR4;TUR5;TUR6;TUR7;TUR8;TUR9;TUR10;TUR11;TUR12;TUR13;TUR14;TUR15;TUR16;TUR17;TUR18;TUR19;TUR20
ALEMANHA;GER1;GER2;GER3;GER4;GER5;GER6;GER7;GER8;GER9;GER10;GER11;GER12;GER13;GER14;GER15;GER16;GER17;GER18;GER19;GER20
CURAÇAO;CUW1;CUW2;CUW3;CUW4;CUW5;CUW6;CUW7;CUW8;CUW9;CUW10;CUW11;CUW12;CUW13;CUW14;CUW15;CUW16;CUW17;CUW18;CUW19;CUW20
COSTA DO MARFIM;CIV1;CIV2;CIV3;CIV4;CIV5;CIV6;CIV7;CIV8;CIV9;CIV10;CIV11;CIV12;CIV13;CIV14;CIV15;CIV16;CIV17;CIV18;CIV19;CIV20
EQUADOR;ECU1;ECU2;ECU3;ECU4;ECU5;ECU6;ECU7;ECU8;ECU9;ECU10;ECU11;ECU12;ECU13;ECU14;ECU15;ECU16;ECU17;ECU18;ECU19;ECU20
PAÍSES BAIXOS;NED1;NED2;NED3;NED4;NED5;NED6;NED7;NED8;NED9;NED10;NED11;NED12;NED13;NED14;NED15;NED16;NED17;NED18;NED19;NED20
JAPÃO;JPN1;JPN2;JPN3;JPN4;JPN5;JPN6;JPN7;JPN8;JPN9;JPN10;JPN11;JPN12;JPN13;JPN14;JPN15;JPN16;JPN17;JPN18;JPN19;JPN20
SUÉCIA;SWE1;SWE2;SWE3;SWE4;SWE5;SWE6;SWE7;SWE8;SWE9;SWE10;SWE11;SWE12;SWE13;SWE14;SWE15;SWE16;SWE17;SWE18;SWE19;SWE20
TUNÍSIA;TUN1;TUN2;TUN3;TUN4;TUN5;TUN6;TUN7;TUN8;TUN9;TUN10;TUN11;TUN12;TUN13;TUN14;TUN15;TUN16;TUN17;TUN18;TUN19;TUN20
BÉLGICA;BEL1;BEL2;BEL3;BEL4;BEL5;BEL6;BEL7;BEL8;BEL9;BEL10;BEL11;BEL12;BEL13;BEL14;BEL15;BEL16;BEL17;BEL18;BEL19;BEL20
EGITO;EGY1;EGY2;EGY3;EGY4;EGY5;EGY6;EGY7;EGY8;EGY9;EGY10;EGY11;EGY12;EGY13;EGY14;EGY15;EGY16;EGY17;EGY18;EGY19;EGY20
IRÃ;IRN1;IRN2;IRN3;IRN4;IRN5;IRN6;IRN7;IRN8;IRN9;IRN10;IRN11;IRN12;IRN13;IRN14;IRN15;IRN16;IRN17;IRN18;IRN19;IRN20
NOVA ZELÂNDIA;NZL1;NZL2;NZL3;NZL4;NZL5;NZL6;NZL7;NZL8;NZL9;NZL10;NZL11;NZL12;NZL13;NZL14;NZL15;NZL16;NZL17;NZL18;NZL19;NZL20
ESPANHA;ESP1;ESP2;ESP3;ESP4;ESP5;ESP6;ESP7;ESP8;ESP9;ESP10;ESP11;ESP12;ESP13;ESP14;ESP15;ESP16;ESP17;ESP18;ESP19;ESP20
CABO VERDE;CPV1;CPV2;CPV3;CPV4;CPV5;CPV6;CPV7;CPV8;CPV9;CPV10;CPV11;CPV12;CPV13;CPV14;CPV15;CPV16;CPV17;CPV18;CPV19;CPV20
ARÁBIA SAUDITA;KSA1;KSA2;KSA3;KSA4;KSA5;KSA6;KSA7;KSA8;KSA9;KSA10;KSA11;KSA12;KSA13;KSA14;KSA15;KSA16;KSA17;KSA18;KSA19;KSA20
URUGUAI;URU1;URU2;URU3;URU4;URU5;URU6;URU7;URU8;URU9;URU10;URU11;URU12;URU13;URU14;URU15;URU16;URU17;URU18;URU19;URU20
FRANÇA;FRA1;FRA2;FRA3;FRA4;FRA5;FRA6;FRA7;FRA8;FRA9;FRA10;FRA11;FRA12;FRA13;FRA14;FRA15;FRA16;FRA17;FRA18;FRA19;FRA20
SENEGAL;SEN1;SEN2;SEN3;SEN4;SEN5;SEN6;SEN7;SEN8;SEN9;SEN10;SEN11;SEN12;SEN13;SEN14;SEN15;SEN16;SEN17;SEN18;SEN19;SEN20
IRAQUE;IRQ1;IRQ2;IRQ3;IRQ4;IRQ5;IRQ6;IRQ7;IRQ8;IRQ9;IRQ10;IRQ11;IRQ12;IRQ13;IRQ14;IRQ15;IRQ16;IRQ17;IRQ18;IRQ19;IRQ20
NORUEGA;NOR1;NOR2;NOR3;NOR4;NOR5;NOR6;NOR7;NOR8;NOR9;NOR10;NOR11;NOR12;NOR13;NOR14;NOR15;NOR16;NOR17;NOR18;NOR19;NOR20
ARGENTINA;ARG1;ARG2;ARG3;ARG4;ARG5;ARG6;ARG7;ARG8;ARG9;ARG10;ARG11;ARG12;ARG13;ARG14;ARG15;ARG16;ARG17;ARG18;ARG19;ARG20
ARGÉLIA;ALG1;ALG2;ALG3;ALG4;ALG5;ALG6;ALG7;ALG8;ALG9;ALG10;ALG11;ALG12;ALG13;ALG14;ALG15;ALG16;ALG17;ALG18;ALG19;ALG20
ÁUSTRIA;AUT1;AUT2;AUT3;AUT4;AUT5;AUT6;AUT7;AUT8;AUT9;AUT10;AUT11;AUT12;AUT13;AUT14;AUT15;AUT16;AUT17;AUT18;AUT19;AUT20
JORDÂNIA;JOR1;JOR2;JOR3;JOR4;JOR5;JOR6;JOR7;JOR8;JOR9;JOR10;JOR11;JOR12;JOR13;JOR14;JOR15;JOR16;JOR17;JOR18;JOR19;JOR20
PORTUGAL;POR1;POR2;POR3;POR4;POR5;POR6;POR7;POR8;POR9;POR10;POR11;POR12;POR13;POR14;POR15;POR16;POR17;POR18;POR19;POR20
REPÚBLICA DEMOCRÁTICA DO CONGO;COD1;COD2;COD3;COD4;COD5;COD6;COD7;COD8;COD9;COD10;COD11;COD12;COD13;COD14;COD15;COD16;COD17;COD18;COD19;COD20
UZBEQUISTÃO;UZB1;UZB2;UZB3;UZB4;UZB5;UZB6;UZB7;UZB8;UZB9;UZB10;UZB11;UZB12;UZB13;UZB14;UZB15;UZB16;UZB17;UZB18;UZB19;UZB20
COLÔMBIA;COL1;COL2;COL3;COL4;COL5;COL6;COL7;COL8;COL9;COL10;COL11;COL12;COL13;COL14;COL15;COL16;COL17;COL18;COL19;COL20
INGLATERRA;ENG1;ENG2;ENG3;ENG4;ENG5;ENG6;ENG7;ENG8;ENG9;ENG10;ENG11;ENG12;ENG13;ENG14;ENG15;ENG16;ENG17;ENG18;ENG19;ENG20
CROÁCIA;CRO1;CRO2;CRO3;CRO4;CRO5;CRO6;CRO7;CRO8;CRO9;CRO10;CRO11;CRO12;CRO13;CRO14;CRO15;CRO16;CRO17;CRO18;CRO19;CRO20
GANA;GHA1;GHA2;GHA3;GHA4;GHA5;GHA6;GHA7;GHA8;GHA9;GHA10;GHA11;GHA12;GHA13;GHA14;GHA15;GHA16;GHA17;GHA18;GHA19;GHA20
PANAMÁ;PAN1;PAN2;PAN3;PAN4;PAN5;PAN6;PAN7;PAN8;PAN9;PAN10;PAN11;PAN12;PAN13;PAN14;PAN15;PAN16;PAN17;PAN18;PAN19;PAN20
FWC;FWC9;FWC10;FWC11;FWC12;FWC13;FWC14;FWC15;FWC16;FWC17;FWC18;FWC19;;;;;;;;;
COCA COLA;CC1;CC2;CC3;CC4;CC5;CC6;CC7;CC8;CC9;CC10;CC11;CC12;CC13;CC14;;;;;;
